group;value
8;89
4;70
1;55
9;117
7;115
5;55
7;78
6;26
0;74
6;90
4;20
0;96
5;51
4;74
3;69
1;62
5;93
3;96
9;97
3;91
7;105
2;94
5;11
6;34
9;52
7;49
7;22
8;15
0;89
3;34
1;9
4;18
2;84
9;34
8;80
6;16
3;52
2;57
2;46
0;80
6;7
1;82
9;62
3;90
8;119
5;109
4;100
1;60
5;80
7;77
4;103
2;65
1;32
1;75
9;79
9;30
8;6
9;59
9;110
7;20
3;28
1;96
5;4
9;21
1;15
8;11
3;45
5;102
8;15
8;72
6;38
1;98
4;15
1;105
7;109
6;7
9;43
5;93
8;91
3;46
6;78
2;76
0;40
9;91
0;106
6;116
5;111
6;28
7;65
6;66
6;102
4;114
1;110
5;117
6;31
5;44
7;37
9;53
0;14
2;57
2;36
7;84
6;111
8;99
4;109
3;114
7;25
3;22
0;73
0;40
8;35
3;3
7;97
1;60
7;26
4;69
3;93
8;91
5;95
9;109
8;97
1;55
2;17
2;98
3;77
8;56
7;69
9;1
5;27
0;6
7;72
1;90
2;27
0;88
5;58
6;44
4;39
8;98
6;22
8;90
1;41
4;117
3;12
2;30
4;11
5;98
4;18
5;0
2;7
1;87
2;74
1;46
4;88
3;52
0;30
1;101
0;47
3;74
8;43
3;17
2;91
8;42
6;93
0;115
1;42
8;71
8;116
6;97
6;91
4;16
4;78
2;100
2;39
6;54
2;47
6;51
5;60
0;72
1;79
1;107
8;14
6;93
6;90
9;82
6;95
1;46
0;43
0;87
0;77
2;119
1;103
6;8
4;41
6;26
2;2
1;87
0;80
2;27
4;1
3;88
3;76
3;9
4;52
2;0
5;10
4;47
7;12
1;94
6;91
4;12
6;69
2;32
3;49
9;68
8;71
9;0
5;59
7;88
9;72
8;88
2;118
0;37
3;114
7;30
7;17
4;112
8;64
8;46
0;102
3;59
0;107
0;28
1;42
9;74
0;102
2;75
1;116
1;13
3;78
8;96
8;89
3;60
9;73
4;6
1;60
8;111
8;89
0;20
3;68
8;94
1;75
8;19
3;12
8;21
6;103
8;106
1;56
2;31
7;67
3;65
4;115
0;60
2;82
8;62
5;52
2;38
5;67
1;116
3;98
0;91
8;85
2;119
4;84
4;8
8;68
5;113
8;115
7;47
1;108
9;71
2;88
0;41
2;115
8;104
7;80
2;1
9;70
5;68
0;93
8;103
5;45
6;15
5;105
7;10
7;63
4;26
3;20
1;93
4;7
0;37
2;74
5;106
6;55
7;42
7;31
0;56
2;115
7;79
3;26
1;25
3;117
3;97
7;75
1;42
0;106
2;107
9;35
9;75
8;61
1;19
6;59
1;85
8;43
9;93
9;16
4;95
1;32
0;105
0;86
1;59
3;48
0;10
0;30
0;69
7;6
1;34
6;55
7;81
4;24
6;103
9;59
1;49
9;108
3;45
3;107
9;107
4;44
1;57
0;66
4;16
2;90
0;18
9;87
7;96
0;109
4;45
2;117
4;14
4;105
3;94
4;101
2;116
2;42
0;64
2;43
6;37
7;69
5;7
9;68
7;68
8;99
5;104
6;49
3;38
4;5
8;14
7;14
0;104
6;84
3;50
2;59
6;16
3;4
9;48
6;106
2;52
2;116
1;111
8;74
7;78
0;1
9;28
3;91
3;113
6;83
7;91
2;114
1;3
1;84
9;16
5;64
9;52
5;113
1;43
5;58
3;14
5;106
0;75
8;97
5;2
6;116
7;110
2;39
5;26
9;0
0;44
5;13
4;113
6;81
5;66
3;69
9;110
0;64
0;59
8;7
8;64
8;40
4;53
6;67
6;10
1;17
8;85
1;43
8;35
5;113
6;86
2;92
2;56
5;57
8;59
7;66
6;1
8;55
3;60
0;96
4;103
5;63
8;50
2;73
2;8
2;23
8;98
0;89
3;16
6;104
9;12
4;68
0;37
3;81
0;114
1;102
5;32
3;33
0;113
5;17
2;61
3;119
0;113
2;85
7;102
8;8
8;35
2;23
1;60
7;11
4;64
1;80
5;62
8;113
2;70
1;54
8;26
5;88
1;116
7;80
5;83
0;76
9;29
8;90
9;51
0;54
3;26
4;68
5;103
9;3
3;0
5;68
1;1
5;100
2;7
9;8
7;45
7;111
3;38
2;117
9;36
7;13
4;87
0;24
0;79
2;86
9;22
7;3
0;12
2;28
6;91
1;13
4;36
6;90
4;81
5;114
7;63
9;29
5;39
2;67
2;114
7;68
6;115
5;80
3;56
2;106
8;41
6;117
2;38
8;53
4;21
8;70
9;81
1;13
5;75
0;104
0;13
5;9
5;61
6;2
7;17
5;28
3;51
2;9
7;2
7;116
3;95
8;82
3;50
7;103
9;107
7;16
2;25
4;101
4;78
9;96
0;47
1;100
2;35
2;112
6;39
8;66
6;30
9;12
8;35
4;83
5;34
7;35
7;55
0;110
9;108
0;57
1;100
5;32
2;96
5;119
1;64
3;54
0;27
6;85
5;41
0;112
4;33
7;45
4;76
7;34
7;54
8;43
3;8
9;26
1;76
4;68
9;0
4;13
1;86
6;100
4;84
2;115
7;8
7;2
0;108
8;33
4;14
4;105
4;62
8;27
7;104
0;25
6;26
9;16
2;20
3;117
7;94
9;70
9;58
6;93
6;68
3;94
4;61
3;72
2;12
0;25
4;79
9;95
9;76
8;23
5;58
5;99
6;17
0;47
8;9
0;10
7;32
5;94
1;74
0;78
1;97
3;92
8;114
9;17
2;112
5;75
6;4
5;71
8;44
0;89
5;52
7;47
3;32
8;28
7;18
5;96
9;116
7;70
0;92
9;25
8;119
0;54
7;31
1;3
8;119
8;94
6;74
0;41
9;24
5;94
4;14
8;9
1;68
2;47
1;10
4;81
1;14
7;101
7;104
8;21
9;113
8;0
8;23
7;55
2;90
5;100
2;30
0;116
2;82
4;16
0;24
0;67
0;3
8;116
5;49
3;12
4;27
8;81
9;9
0;12
1;24
7;92
4;110
7;15
4;52
8;81
6;77
7;118
3;71
2;36
4;25
3;13
7;7
3;0
0;114
0;46
5;52
8;36
1;89
5;105
5;104
2;100
7;37
9;109
9;8
8;78
3;87
9;103
7;108
2;18
1;34
8;48
3;102
2;110
3;0
1;104
6;96
8;28
1;38
5;77
2;73
6;119
2;97
5;63
3;91
3;36
9;12
0;37
5;73
1;68
5;26
3;56
0;54
3;37
1;97
3;49
9;83
8;117
5;51
5;40
5;12
4;80
5;29
5;84
0;56
8;63
9;33
7;9
9;9
6;4
9;89
2;14
6;93
3;108
1;115
8;107
4;97
6;5
1;111
4;102
0;6
5;34
7;118
6;72
2;117
9;87
6;116
9;71
8;31
8;46
7;70
7;4
3;11
9;100
0;33
4;11
9;111
1;52
3;10
7;78
2;115
8;82
3;111
6;46
6;77
6;41
9;47
6;85
7;18
9;91
4;110
5;119
8;63
0;28
1;9
1;50
8;88
4;113
5;114
0;79
0;102
1;92
2;52
5;20
0;51
4;87
6;29
5;56
8;82
5;104
2;71
4;72
4;29
5;107
6;112
0;27
2;18
4;103
0;91
2;86
1;88
7;56
1;28
6;85
5;94
4;26
5;42
4;103
8;6
4;58
2;59
6;82
2;92
7;66
4;2
1;55
1;9
6;39
5;103
2;81
1;102
7;96
6;48
0;47
4;66
6;90
3;85
3;28
1;12
9;31
5;79
6;57
2;112
1;52
2;77
0;112
6;117
2;116
2;39
2;57
7;80
2;92
6;27
5;119
6;89
7;61
0;13
4;106
4;85
0;6
6;13
9;21
7;97
4;40
1;63
4;33
8;58
3;91
5;38
0;85
2;15
2;82
6;112
8;40
4;41
8;34
4;95
1;73
6;12
0;57
0;114
4;34
4;3
5;1
8;52
5;67
1;102
5;39
5;4
3;115
5;118
1;57
4;43
7;90
7;101
4;98
3;48
1;15
7;76
4;15
1;3
5;115
2;41
4;106
3;70
5;22
6;80
4;60
7;35
8;3
3;32
2;43
0;43
6;60
8;37
2;94
7;112
6;88
6;22
6;111
4;112
0;105
1;52
6;8
3;96
5;50
7;38
3;41
7;111
1;28
6;97
0;75
0;20
0;52
9;68
3;15
5;82
0;65
6;86
2;114
5;66
3;53
9;109
6;104
6;52
4;69
8;111
9;76
9;112
9;103
5;64
2;28
8;34
7;91
7;94
3;58
9;65
9;48
4;81
3;65
1;50
2;77
6;68
4;78
2;38
3;65
1;91
9;79
6;17
0;46
9;73
8;62
8;62
5;14
5;48
6;84
7;83
4;42
3;78
6;107
2;105
9;101
9;68
7;80
6;48
8;3
3;99
8;82
8;2
5;68
5;62
2;114
5;34
4;105
0;58
1;92
9;15
8;64
3;70
3;84
9;90
7;72
1;63
4;17
9;103
3;59
2;54
9;83
6;11
6;69
1;5
2;9
8;2
4;45
8;71
4;90
5;91
5;26
8;37
6;37
5;100
4;12
6;94
2;44
9;111
1;52
6;69
3;15
0;107
3;8
5;1
7;18
7;4
8;47
2;110
1;22
7;48
1;91
8;19
6;90
6;119
6;40
4;37
2;21
1;55
6;36
4;113
6;102
6;9
1;73
1;44
9;89
0;33
0;9
2;91
2;18
3;8
3;33
1;98
2;76
5;119
8;59
3;30
1;41
5;68
8;93
9;26
6;89
4;25
1;103
3;79
0;61
2;44
7;30
5;72
2;19
0;44
4;81
3;44
7;97
4;41
9;114
4;46
9;107
2;0
4;52
1;53
1;62
5;67
2;12
6;38
0;31
2;48
3;113
8;117
8;105
8;50
7;68
8;61
3;81
8;19
4;6
9;64
4;112
8;118
7;11
6;62
1;21
2;23
8;104
4;68
0;89
5;20
9;47
9;64
8;40
3;62
8;57
4;27
7;116
4;84
3;25
2;83
4;68
8;112
4;40
5;107
8;60
5;28
7;42
6;38
0;55
9;66
7;0
3;71
5;117
1;107
6;20
2;100
3;84
5;60
8;4
0;60
7;0
3;89
2;18
4;84
6;118
8;47
5;69
8;6
3;0
3;72
2;28
6;9
3;83
5;14
2;25
1;108
4;115
9;78
8;74
2;69
2;21
3;74
1;101
6;117
9;94
4;33
9;49
6;11
4;85
3;47
2;69
1;61
3;55
0;74
0;68
4;68
8;34
1;57
1;42
9;95
3;81
5;47
8;78
2;77
0;108
1;117
0;7
1;9
4;66
2;17
6;85
2;69
4;9
1;59
7;96
1;114
4;7
2;90
8;107
1;56
8;46
4;64
8;58
1;50
6;100
7;88
7;98
9;64
1;108
6;112
7;83
4;22
8;75
2;61
1;90
0;34
8;51
0;0
0;112
9;95
9;119
3;17
3;74
2;0
2;100
4;68
3;61
7;25
0;1
2;28
5;0
1;64
4;84
8;99
0;94
2;88
0;87
9;27
6;31
5;50
6;22
4;96
6;95
7;108
0;35
2;27
7;118
8;109
6;5
4;98
4;69
8;100
9;87
6;109
2;11
0;7
3;30
3;117
2;39
5;11
5;109
6;13
7;52
3;59
5;110
2;23
1;65
3;35
5;34
2;6
7;28
7;31
8;28
2;42
3;83
9;61
0;103
9;54
4;34
2;100
9;16
3;80
8;109
6;16
1;60
9;98
6;68
9;60
0;92
1;69
0;29
2;40
0;2
3;99
1;1
0;70
6;63
7;91
4;43
6;21
2;105
7;24
4;65
1;1
2;59
6;100
3;56
2;34
8;49
7;20
2;22
1;52
9;100
8;37
7;13
7;113
9;63
3;44
7;88
5;11
1;79
7;60
5;43
5;21
5;16
2;45
2;70
7;74
3;6
8;10
6;72
1;2
5;21
4;13
6;118
5;43
7;45
4;46
5;17
9;39
2;100
4;9
7;9
2;62
0;61
0;118
1;91
2;107
8;64
6;2
7;105
0;15
1;58
4;26
5;98
9;60
3;61
6;46
0;47
8;40
8;115
3;109
1;44
0;118
4;100
6;16
8;107
4;98
4;32
2;96
1;73
2;78
5;51
4;89
7;54
8;84
8;87
5;86
4;44
1;9
8;77
6;14
1;88
0;94
9;75
1;28
5;76
8;17
8;72
0;79
2;108
5;37
5;71
8;79
7;40
0;44
3;82
8;37
6;21
8;26
2;84
4;85
1;4
8;68
4;117
2;22
9;10
1;115
0;88
3;67
6;110
0;77
9;29
7;113
6;30
9;25
6;75
6;70
3;4
4;59
3;51
3;19
2;46
7;11
5;117
6;95
8;70
7;45
8;106
6;78
5;34
5;41
4;112
6;27
8;47
4;19
4;79
8;4
0;8
4;53
8;40
5;43
1;6
5;98
8;42
9;49
9;40
3;14
4;48
9;32
5;12
2;8
3;30
9;33
0;8
0;45
0;119
0;49
6;63
5;79
7;27
7;62
6;18
5;114
8;116
5;58
6;115
4;9
8;47
1;114
1;105
9;41
1;49
0;35
9;103
9;113
8;20
2;28
6;109
3;4
6;33
3;78
4;99
8;62
3;24
9;72
1;72
1;112
1;79
3;56
7;62
9;93
3;19
7;33
4;93
5;115
2;90
5;14
8;51
9;9
5;50
3;84
9;83
5;65
0;81
4;29
0;109
5;5
8;93
9;76
3;115
0;73
7;96
3;4
4;109
2;98
6;2
3;77
6;92
4;56
6;12
3;34
5;9
2;100
2;68
7;88
6;70
7;21
1;90
7;12
4;38
1;106
4;96
6;105
1;56
5;31
3;51
3;5
4;43
5;11
2;107
5;3
5;75
4;29
4;1
0;47
9;1
7;79
9;64
7;45
9;116
7;70
9;60
3;40
1;51
0;21
7;40
7;24
2;77
3;59
8;11
0;11
3;54
3;7
8;114
1;37
9;35
5;26
7;77
7;77
7;69
0;19
5;24
6;16
5;72
6;67
4;111
8;89
0;31
8;1
3;26
8;68
0;16
5;8
3;68
9;13
5;62
7;43
2;98
7;68
9;16
4;93
2;22
8;1
1;115
8;41
3;40
1;59
8;76
7;78
1;38
7;33
5;32
2;40
6;74
5;22
4;63
3;108
8;8
7;18
6;35
9;90
0;98
8;20
6;117
4;50
9;25
4;44
1;5
0;30
9;75
0;96
0;107
2;101
7;86
2;12
1;43
6;89
8;77
1;38
0;38
9;23
7;76
8;12
5;35
7;37
5;75
3;30
2;4
3;28
6;12
5;5
8;26
0;67
5;2
8;51
5;87
5;59
9;55
3;32
6;48
6;118
5;29
4;60
2;87
1;29
0;75
3;87
3;42
9;114
0;93
7;38
6;31
9;86
3;44
7;80
3;67
3;21
0;25
2;68
9;4
3;92
7;6
8;33
6;6
9;70
5;63
6;47
9;3
4;44
7;105
5;17
0;30
9;48
7;5
7;15
2;43
6;31
4;48
2;98
7;105
4;39
4;82
6;60
8;102
8;115
5;63
9;50
3;51
1;72
8;107
9;97
4;35
5;33
9;81
7;114
9;23
4;29
8;111
4;56
2;117
9;108
2;55
0;16
6;34
2;90
1;117
7;114
4;105
6;85
1;61
0;71
4;14
1;66
9;59
7;72
0;48
5;112
2;91
2;28
9;39
7;118
9;33
1;20
8;77
2;59
0;36
9;29
2;18
8;21
6;37
1;7
3;95
7;89
7;71
1;102
3;27
2;60
2;25
8;10
8;20
4;71
0;18
5;4
5;46
2;94
6;99
8;97
4;72
2;5
0;78
8;32
0;117
3;82
2;29
3;99
3;17
8;64
0;80
8;49
1;72
2;58
2;109
8;110
6;97
9;91
3;71
6;42
8;36
3;38
8;27
2;41
8;25
9;96
9;60
7;52
8;103
0;29
0;7
3;1
2;73
8;60
4;1
6;2
9;17
6;12
3;92
4;81
5;22
4;12
9;76
2;10
6;37
8;22
7;86
3;56
4;6
5;109
1;59
5;41
6;46
0;10
9;5
0;115
6;82
6;86
9;83
7;55
7;3
3;90
2;80
0;53
8;65
7;0
7;14
0;96
0;114
6;15
2;49
3;74
6;95
7;80
5;102
2;87
0;87
8;84
5;28
8;100
3;22
8;47
3;17
8;66
2;39
5;78
4;6
0;30
3;82
8;73
7;29
0;84
9;1
0;65
8;31
0;36
7;26
3;73
3;76
7;19
5;52
4;84
8;99
7;24
6;41
6;48
2;6
6;58
3;28
8;13
1;21
4;60
8;38
3;89
5;92
2;57
6;106
0;62
6;91
3;74
7;17
2;19
3;113
3;36
0;59
2;36
3;1
9;66
5;19
5;12
5;12
2;97
1;107
3;61
0;109
0;36
4;7
3;64
5;98
9;9
8;31
4;114
7;56
0;60
0;56
8;35
3;18
3;102
7;40
9;107
9;30
1;56
6;78
3;26
9;60
9;106
9;60
6;103
6;85
2;112
7;28
0;47
5;45
5;100
0;94
2;7
5;4
9;85
0;15
9;28
5;78
4;72
1;28
1;70
0;114
8;90
8;118
0;64
7;1
8;12
3;39
5;19
3;36
7;22
9;29
3;11
4;99
5;95
5;103
6;58
8;53
3;80
3;103
8;84
2;91
3;77
1;93
6;76
3;29
9;97
4;99
3;31
5;82
2;54
5;86
5;109
3;39
7;49
1;14
2;0
4;57
0;19
0;110
6;0
2;69
7;99
1;118
8;95
3;55
5;17
9;78
4;116
2;66
8;67
2;37
5;21
1;41
0;98
0;81
8;1
6;79
7;90
7;62
2;55
3;88
1;24
9;55
9;114
7;70
9;6
1;30
7;48
0;44
7;101
8;97
5;9
3;31
4;80
1;20
1;61
5;113
6;105
7;70
9;37
6;29
3;43
7;98
8;108
6;118
7;37
2;21
6;51
6;59
0;80
3;106
5;25
0;99
3;54
4;2
0;12
2;97
7;69
6;109
1;90
1;60
9;28
5;39
8;95
8;16
7;88
6;118
4;53
0;89
7;115
1;37
2;78
9;37
9;10
3;35
1;64
1;98
9;57
6;44
5;67
9;19
1;87
6;61
4;115
7;35
2;73
9;30
9;54
7;76
9;12
6;106
3;68
5;62
5;77
8;69
4;50
5;16
0;14
3;34
6;62
5;2
0;91
9;97
0;108
0;56
2;84
1;20
7;93
8;43
3;96
3;115
5;48
0;93
9;79
2;45
2;89
2;76
7;71
5;80
6;11
0;2
4;82
0;34
7;60
3;115
7;38
9;23
5;7
2;29
0;61
8;67
6;15
5;25
4;50
6;25
5;99
4;49
0;66
7;112
1;79
1;106
1;100
4;20
3;58
1;67
3;104
4;108
8;92
0;119
3;5
3;47
1;48
7;3
9;54
5;64
0;90
0;50
4;3
7;95
4;36
5;52
2;60
0;97
6;104
8;82
1;101
1;59
0;109
1;81
0;82
3;68
5;61
3;91
2;71
3;116
5;2
5;14
2;8
8;77
7;88
3;82
0;104
9;11
9;106
1;80
5;40
5;52
2;54
7;20
7;13
8;66
7;109
5;48
4;67
5;10
1;92
5;66
1;43
3;53
1;13
7;68
7;35
7;52
4;77
5;31
8;74
0;78
0;78
6;23
8;109
6;35
5;14
4;88
1;77
7;62
2;112
2;44
7;74
1;102
8;82
8;102
8;4
8;100
9;49
7;25
8;83
5;39
3;107
4;20
2;5
2;100
3;45
6;16
9;18
3;99
1;94
6;55
4;50
1;61
6;14
2;95
2;75
3;57
7;26
6;115
5;19
8;20
6;41
8;33
5;66
2;44
7;0
6;23
4;62
5;105
4;117
4;24
7;38
9;79
5;17
4;106
4;110
3;22
0;4
2;78
9;113
3;56
0;7
1;47
1;65
0;13
9;58
8;95
0;27
4;56
3;25
1;88
2;111
2;33
5;42
1;1
8;87
8;91
7;56
6;33
3;77
3;94
2;25
7;49
8;65
8;67
9;28
5;34
6;4
0;36
8;23
6;4
9;20
2;59
6;116
0;30
2;20
0;78
8;95
3;94
9;48
5;69
5;83
0;65
0;108
7;30
8;74
7;58
5;13
5;99
5;4
7;86
3;47
8;103
1;76
6;91
2;14
0;106
3;77
1;119
2;119
6;31
0;65
7;110
3;52
5;43
3;65
6;3
2;8
9;81
8;92
6;14
6;44
6;118
6;26
2;31
8;118
3;23
4;99
9;89
2;65
9;49
2;14
0;96
5;67
0;80
0;103
7;36
8;18
4;49
1;26
3;87
7;105
7;40
1;80
5;92
9;0
3;55
2;50
3;35
8;111
5;84
3;9
7;14
2;41
0;72
4;24
2;114
1;42
1;81
8;108
3;19
9;11
1;25
6;56
6;81
9;47
1;118
5;41
1;86
9;15
8;101
3;21
2;62
1;53
2;5
4;12
9;75
2;9
8;85
2;98
9;100
8;42
4;4
0;44
1;80
7;34
9;52
5;24
3;91
3;105
2;18
4;54
9;10
9;9
1;60
2;99
7;1
1;30
4;68
3;10
9;102
1;83
0;37
4;43
0;10
9;39
3;47
4;34
3;9
6;15
5;95
4;67
7;60
1;35
2;50
7;18
0;15
6;32
9;95
3;61
9;0
5;20
2;99
1;72
7;1
8;117
0;91
5;61
3;11
4;37
7;59
0;62
6;63
7;67
4;1
6;57
2;22
9;19
2;4
2;19
3;1
7;38
1;55
3;108
9;80
2;34
1;105
0;96
3;6
4;26
9;5
3;89
8;102
8;36
1;69
0;117
9;16
2;55
7;102
3;54
7;60
5;92
2;32
4;56
8;93
0;40
0;50
8;83
3;92
6;98
5;48
5;5
0;111
6;75
0;76
2;23
6;42
5;115
4;29
4;53
9;88
9;72
7;47
7;49
2;104
3;110
1;102
4;60
6;40
9;4
0;47
7;116
2;38
3;82
5;32
5;60
2;80
7;42
1;12
7;39
7;99
3;62
7;42
9;112
2;98
0;37
3;24
1;110
8;60
1;99
5;109
6;27
9;0
5;32
1;115
2;47
6;76
6;47
3;119
7;35
9;42
5;9
7;108
8;67
3;70
6;76
6;56
4;40
8;93
4;98
5;100
3;51
6;13
0;100
7;48
2;34
3;32
5;37
4;64
5;56
5;72
7;49
8;107
0;79
0;93
5;50
8;33
3;8
0;67
6;96
8;19
0;73
0;114
1;60
3;82
2;101
6;59
8;35
7;14
2;18
5;31
7;15
6;96
0;52
8;36
7;72
7;58
0;99
5;118
8;37
6;19
1;5
0;81
5;17
0;8
0;70
6;10
9;102
3;87
3;6
8;59
0;83
6;81
7;115
4;50
1;37
2;54
4;89
2;21
5;116
8;84
4;35
1;99
9;55
8;11
3;59
0;102
4;30
1;62
8;42
5;98
6;111
9;82
5;15
7;58
3;67
4;71
2;78
6;82
9;85
3;32
1;46
6;16
4;47
4;16
4;43
0;28
5;33
2;114
8;22
5;81
7;16
6;77
6;60
4;6
2;30
6;117
2;45
3;113
4;110
0;83
2;64
5;38
7;77
7;84
4;6
5;98
5;70
0;10
9;103
2;90
0;113
7;37
5;78
4;12
0;51
5;113
8;52
2;12
1;34
0;33
6;67
0;50
4;22
4;10
0;59
7;31
5;75
9;108
5;97
6;75
6;43
5;67
8;101
3;99
0;75
4;76
5;14
0;17
3;20
0;83
3;81
2;33
8;62
6;44
3;21
3;54
0;37
8;68
6;77
2;40
3;5
2;83
0;110
5;98
3;114
5;91
9;109
3;103
2;104
2;79
4;101
3;4
5;112
8;63
3;62
4;9
8;50
5;97
1;85
1;94
4;105
9;115
4;44
7;50
3;16
0;19
5;3
8;25
0;112
0;74
2;88
6;41
7;84
1;107
6;115
6;22
4;117
6;53
9;55
4;52
3;16
6;70
7;9
0;22
3;47
4;81
6;34
1;54
1;45
1;109
7;93
7;63
9;0
6;0
4;14
3;43
1;60
2;88
1;25
6;49
0;16
5;72
3;18
9;13
5;33
0;64
7;57
4;95
7;36
9;16
3;102
0;1
9;110
8;94
2;52
8;39
7;89
7;88
1;116
1;20
0;52
1;114
9;16
3;4
9;68
5;3
2;70
1;64
9;61
7;15
7;103
9;83
9;19
8;53
7;52
3;102
7;92
1;66
4;20
3;95
2;56
2;9
3;61
7;9
3;45
8;105
3;7
0;100
4;3
2;12
6;77
8;98
3;111
6;101
7;62
7;80
2;40
6;96
3;22
9;97
2;18
5;29
6;95
9;75
9;98
1;76
1;9
4;5
5;41
5;33
4;92
5;92
8;108
5;53
5;69
3;33
4;60
9;109
8;19
7;45
5;64
9;48
2;79
6;3
4;28
2;8
8;94
7;35
3;85
8;86
1;62
0;101
4;91
6;106
4;89
6;35
5;85
6;24
0;36
1;49
2;39
8;113
9;60
8;16
5;111
8;11
4;53
5;19
3;83
6;75
3;66
6;74
3;81
9;53
8;30
9;108
8;29
7;116
0;31
1;71
0;59
1;100
7;65
6;33
2;61
1;97
6;33
9;94
3;48
1;112
3;63
4;52
1;27
9;16
0;20
7;25
1;31
6;10
8;39
8;71
8;7
7;66
5;64
2;68
5;93
7;6
1;15
6;68
2;11
8;16
5;9
5;78
0;117
4;12
8;47
2;51
5;105
0;4
1;116
5;68
3;61
4;19
8;65
3;33
0;57
8;31
6;15
0;110
8;71
4;34
1;40
9;69
0;108
7;16
5;3
3;18
3;117
0;9
2;68
6;110
2;110
8;118
4;24
3;40
4;83
7;19
2;86
9;75
9;9
6;69
0;82
9;65
3;7
4;8
0;38
4;25
9;109
6;62
0;75
4;36
3;92
7;49
1;50
3;49
5;69
6;95
1;69
0;3
1;33
0;1
2;26
7;83
0;39
6;58
3;12
5;95
4;86
1;82
7;92
4;100
8;87
7;66
8;109
6;79
7;69
9;29
4;35
6;109
5;106
6;36
3;16
1;108
7;111
2;57
5;103
0;64
9;9
8;49
1;68
7;82
4;105
4;24
2;108
7;44
9;109
5;40
5;2
6;60
6;89
5;0
4;108
6;83
4;95
3;67
6;33
8;53
9;56
3;75
4;81
6;29
3;32
6;85
8;52
5;70
3;14
5;18
0;70
9;115
2;14
1;33
8;111
3;114
5;71
0;43
8;114
9;76
6;24
0;108
7;30
1;94
0;40
6;73
1;92
3;7
5;71
5;56
3;49
8;49
0;115
2;115
0;69
8;10
6;115
8;119
8;66
4;65
0;93
1;16
2;9
0;22
9;9
1;18
4;90
4;76
9;106
7;20
7;70
9;66
4;73
4;44
7;58
2;65
1;109
9;111
8;90
8;65
2;9
3;36
2;12
1;14
3;92
4;26
5;114
0;31
1;40
3;55
3;118
6;19
2;43
5;33
9;20
7;52
9;93
0;20
2;114
8;14
0;67
9;14
7;17
4;33
7;61
7;86
9;82
1;102
3;12
8;114
2;35
0;1
3;20
1;119
3;50
9;16
2;2
4;19
1;44
9;41
9;75
5;116
0;46
5;101
3;106
3;100
4;41
3;104
2;43
3;32
5;5
0;52
8;24
5;29
7;21
8;3
1;67
5;7
6;38
0;116
0;70
0;57
8;14
5;94
0;100
7;80
1;85
3;90
2;69
0;108
2;75
1;92
2;103
8;81
4;7
2;39
6;19
6;75
9;64
9;11
7;10
5;22
7;34
1;8
6;57
7;107
1;89
1;29
4;97
3;1
1;0
4;12
4;70
5;54
0;81
9;52
0;103
4;90
1;80
4;79
9;33
4;90
6;2
1;99
5;26
1;106
8;22
0;49
5;99
0;47
5;16
9;73
0;95
7;78
4;6
5;57
9;49
6;102
8;100
7;37
3;69
8;104
9;16
1;27
9;88
3;18
6;93
1;97
5;85
1;96
5;69
7;70
6;5
8;24
4;22
0;33
9;10
7;113
9;102
8;103
9;61
8;34
4;50
0;96
8;14
1;102
7;111
8;48
4;40
5;119
9;105
1;74
5;89
2;65
7;86
1;35
8;102
2;66
3;111
7;26
3;18
6;97
0;79
4;24
1;39
4;38
0;13
6;33
4;53
2;13
4;100
6;0
2;56
8;51
5;24
8;91
2;106
0;111
5;103
9;110
9;117
3;65
1;97
4;79
1;105
2;108
0;44
2;101
4;15
6;20
5;107
6;57
4;41
2;53
6;104
5;8
3;114
1;28
1;46
1;25
0;94
9;75
2;102
2;73
0;97
5;70
6;37
3;109
3;67
0;0
5;59
4;114
9;63
5;64
4;68
3;12
9;22
3;87
3;104
1;74
2;6
4;82
0;82
2;61
0;111
2;16
5;112
8;118
6;56
6;78
5;0
5;85
6;41
3;92
1;57
0;100
2;26
1;55
3;18
9;37
2;38
4;105
6;41
6;79
3;30
8;97
3;109
0;77
0;14
9;21
4;49
2;78
9;65
3;31
0;95
4;94
1;50
8;88
6;6
6;114
1;4
0;23
7;100
7;47
5;0
9;92
0;9
0;109
7;27
8;14
1;91
9;3
3;79
2;79
5;50
2;76
8;86
1;98
4;116
6;72
5;70
1;0
9;52
8;49
4;63
8;31
2;109
1;58
7;62
7;104
4;15
0;11
8;99
9;101
4;15
9;68
7;69
2;17
0;2
9;27
4;94
4;28
5;28
1;61
7;57
6;79
5;79
9;101
3;86
2;34
5;81
7;116
2;4
5;90
1;38
9;81
3;78
3;73
4;17
0;41
1;4
0;85
9;63
5;40
9;45
3;67
1;18
5;3
1;51
3;45
1;109
0;83
3;12
0;80
1;76
6;56
0;11
7;2
3;104
7;52
5;115
1;118
2;35
4;57
7;115
2;77
3;108
9;106
7;43
9;84
3;84
3;104
8;56
9;93
5;7
2;14
4;56
4;92
8;60
0;58
4;23
7;37
0;24
9;67
4;57
2;44
1;113
0;107
4;90
1;31
6;66
5;78
9;102
6;29
4;89
8;98
4;94
2;112
7;119
6;94
5;96
8;63
9;52
5;89
8;18
0;69
9;34
3;29
1;89
4;18
3;76
0;50
2;18
3;45
9;53
5;110
2;110
1;31
7;66
3;51
2;11
4;77
8;30
2;7
1;79
4;62
3;63
5;88
0;81
6;34
9;19
2;20
9;108
4;30
0;40
5;50
2;31
2;71
6;25
2;68
